"","cste","Haar0.007","Haar0.015","Haar0.023","Haar0.031","Haar0.039","Haar0.046","Haar0.054","Haar0.062","Haar0.07","Haar0.078","Haar0.085","Haar0.093","Haar0.101","Haar0.109","Haar0.117","Haar0.125","Haar0.132","Haar0.14","Haar0.148","Haar0.156","Haar0.164","Haar0.171","Haar0.179","Haar0.187","Haar0.195","Haar0.203","Haar0.21","Haar0.218","Haar0.226","Haar0.234","Haar0.242","Haar0.25","Haar0.257","Haar0.265","Haar0.273","Haar0.281","Haar0.289","Haar0.296","Haar0.304","Haar0.312","Haar0.32","Haar0.328","Haar0.335","Haar0.343","Haar0.351","Haar0.359","Haar0.367","Haar0.375","Haar0.382","Haar0.39","Haar0.398","Haar0.406","Haar0.414","Haar0.421","Haar0.437","Haar0.445","Haar0.453","Haar0.46","Haar0.468","Haar0.476","Haar0.484","Haar0.492","Haar0.5","Haar0.507","Haar0.515","Haar0.523","Haar0.531","Haar0.539","Haar0.546","Haar0.554","Haar0.562","Haar0.57","Haar0.578","Haar0.585","Haar0.593","Haar0.601","Haar0.609","Haar0.617","Haar0.625","Haar0.632","Haar0.64","Haar0.648","Haar0.671","Haar0.679","Haar0.687","Haar0.695","Haar0.703","Haar0.71","Haar0.718","Haar0.726","Haar0.734","Haar0.742","Haar0.75","Haar0.757","Haar0.765","Haar0.773","Haar0.781","Haar0.789","Haar0.804","Haar0.812","Haar0.835","Haar0.843","Haar0.851","Haar0.859","Haar0.867","Haar0.875","Haar0.882","Haar0.89","Haar0.898","Haar0.906","Haar0.914","Haar0.921","Haar0.929","Haar0.937","Haar0.945","Haar0.953","Haar0.96","Haar0.968","Haar0.976","Haar0.984","Haar0.992","Haar1","sin(2pi*1posx)","cos(2pi1posx)","sin(2pi*2posx)","cos(2pi2posx)","sin(2pi*3posx)","cos(2pi3posx)","sin(2pi*4posx)","cos(2pi4posx)","sin(2pi*5posx)","cos(2pi5posx)","sin(2pi*6posx)","cos(2pi6posx)","sin(2pi*7posx)","cos(2pi7posx)","sin(2pi*8posx)","cos(2pi8posx)","sin(2pi*9posx)","cos(2pi9posx)","sin(2pi*10posx)","cos(2pi10posx)","bspl3.1","bspl3.2","bspl3.3","bspl3.4","bspl3.5","bspl3.6","bspl3.7","bspl3.8","bspl3.9","bspl3.10","bspl3.11","bspl3.12","bspl3.13","bspl3.14","x","xx"
"11",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0659016684801401,0.997826122173364,0.131516812608586,0.991313940183067,0.196560153771512,0.980491767405173,0.26074889941467,0.965406656002556,0.323803972556314,0.946124192353599,0.385451225145725,0.922728211898639,0.445422629991947,0.895320434643964,0.503457446080527,0.864020022908076,0.559303352211729,0.82896306323305,0.612717544031459,0.790301974713499,0.85346233131769,0.142727820535859,0.00380984814645056,0,0,0,0,0,0,0,0,0,0,0,0.0104961832061069,0.00011016986189616
"12",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718828207779892,0.99741308397123,0.143393731913451,0.989665720153999,0.214162747961888,0.976797992107587,0.28382372191939,0.958876475295867,0.352016239605734,0.93599389263704,0.418387484386831,0.908268634770825,0.482594062588734,0.875844147525175,0.544303780158837,0.83888818975165,0.603197361382113,0.797591965369296,0.658970100760047,0.752169134107677,0.839446765834558,0.155943317908237,0.00460991625720518,0,0,0,0,0,0,0,0,0,0,0,0.0114503816793893,0.000131111240603694
"13",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778613892634177,0.996964193971865,0.155250034377066,0.987875208123941,0.231696061510254,0.972788227252282,0.306735320042986,0.95179485365184,0.379912200708461,0.92502255094287,0.45078240187579,0.892633870161274,0.518915627177137,0.854825462811771,0.583898198100327,0.811826886876254,0.645335565684298,0.763899213026776,0.70285470606732,0.711333439505709,0.825547236966898,0.168966581702214,0.00548618133088881,0,0,0,0,0,0,0,0,0,0,0,0.0124045801526718,0.000153873608764058
"14",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838371590380765,0.996479468310524,0.167084015325855,0.985942661528849,0.249154422472113,0.968463769979336,0.3294705175386,0.944165863645179,0.407466789809601,0.913220025624854,0.482594062588734,0.875844147525175,0.554323359986874,0.832301395272687,0.622149631474913,0.782898356145694,0.685595307976545,0.727982880073802,0.744213664462401,0.667941630404517,0.81176374471471,0.181797611917789,0.00643864336750145,0,0,0,0,0,0,0,0,0,0,0,0.0133587786259542,0.000178456966377251
"15",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0898099153042156,0.995958924410565,0.178893973295581,0.983868358226099,0.266532183149783,0.963826019230344,0.352016239605734,0.93599389263704,0.434655247595774,0.900596921900945,0.513781306164056,0.857921190690821,0.588754906543043,0.808311610717979,0.658970100760047,0.752169134107677,0.723859399000354,0.689947512843438,0.782898356145694,0.622149631474913,0.798096289077994,0.194436408554963,0.0074673023670431,0,0,0,0,0,0,0,0,0,0,0,0.0143129770992366,0.000204861313443273
"16",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957794433724049,0.995402580982826,0.190678210275981,0.981652596454545,0.28382372191939,0.958876475295867,0.374359520409444,0.927283640251898,0.461453143742718,0.887164582323913,0.544303780158837,0.83888818975165,0.622149631474913,0.782898356145694,0.694274917696448,0.719709898957622,0.760016458498454,0.649903825816918,0.818769771061129,0.574121992259925,0.784544870056751,0.206882971613735,0.00857215832951377,0,0,0,0,0,0,0,0,0,0,0,0.0152671755725191,0.000233086649962123
"17",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101745528669251,0.994810458024952,0.202435031954897,0.979295694791629,0.301023445049443,0.953616739330096,0.396487510536874,0.918040115674839,0.487836398867278,0.872935076589437,0.574121992259925,0.81876977106113,0.65444872529731,0.756106385343177,0.727982880073802,0.685595307976545,0.793961239423774,0.607968379352631,0.851699008416644,0.524031295880413,0.771109487650981,0.219137301094106,0.00975321125491344,0,0,0,0,0,0,0,0,0,0,0,0.0162213740458015,0.000263132975933803
"18",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107707956745111,0.994182576820673,0.214162747961888,0.976797992107587,0.318125788510382,0.948048512832887,0.418387484386831,0.908268634770825,0.513781306164056,0.857921190690821,0.603197361382114,0.797591965369296,0.685595307976545,0.727982880073802,0.760016458498454,0.649903825816918,0.825594934295686,0.564263240398754,0.881567739877905,0.472057538872713,0.757790141860683,0.231199396996075,0.0110104611432421,0,0,0,0,0,0,0,0,0,0,0,0.017175572519084,0.000295000291358312
"19",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113666513281799,0.993518959939043,0.225859672111261,0.974159847516717,0.335125219774507,0.942173597099329,0.440046847488163,0.897974817027588,0.539264552707281,0.842136415430075,0.631492267587301,0.775382174142177,0.715534529098485,0.698577366987944,0.790301974713499,0.612717544031459,0.854825462811771,0.518915627177137,0.908268634770825,0.418387484386831,0.744586832685857,0.243069259319643,0.0123439079944998,0,0,0,0,0,0,0,0,0,0,0,0.0181297709923664,0.000328688596235651
"20",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119620984100291,0.992819631233628,0.237524122644509,0.971381640325756,0.352016239605734,0.93599389263704,0.461453143742718,0.887164582323913,0.564263240398754,0.825594934295686,0.658970100760047,0.752169134107677,0.744213664462401,0.667941630404517,0.818769771061129,0.574121992259925,0.881567739877905,0.472057538872713,0.93170574576496,0.363213991069397,0.731499560126504,0.25474688806481,0.0137535518086865,0,0,0,0,0,0,0,0,0,0,0,0.0190839694656489,0.000364197890565818
