"","cste","Haar0.007","Haar0.015","Haar0.023","Haar0.031","Haar0.039","Haar0.046","Haar0.054","Haar0.062","Haar0.07","Haar0.078","Haar0.085","Haar0.093","Haar0.101","Haar0.109","Haar0.117","Haar0.125","Haar0.132","Haar0.14","Haar0.148","Haar0.156","Haar0.164","Haar0.171","Haar0.179","Haar0.187","Haar0.195","Haar0.203","Haar0.21","Haar0.218","Haar0.226","Haar0.234","Haar0.242","Haar0.25","Haar0.257","Haar0.265","Haar0.273","Haar0.281","Haar0.296","Haar0.304","Haar0.312","Haar0.32","Haar0.328","Haar0.335","Haar0.343","Haar0.351","Haar0.367","Haar0.375","Haar0.382","Haar0.39","Haar0.398","Haar0.406","Haar0.414","Haar0.421","Haar0.429","Haar0.437","Haar0.445","Haar0.453","Haar0.46","Haar0.468","Haar0.476","Haar0.484","Haar0.492","Haar0.5","Haar0.507","Haar0.515","Haar0.523","Haar0.531","Haar0.539","Haar0.546","Haar0.554","Haar0.562","Haar0.57","Haar0.578","Haar0.585","Haar0.593","Haar0.601","Haar0.609","Haar0.617","Haar0.625","Haar0.632","Haar0.64","Haar0.648","Haar0.656","Haar0.664","Haar0.671","Haar0.679","Haar0.687","Haar0.695","Haar0.703","Haar0.71","Haar0.718","Haar0.726","Haar0.734","Haar0.742","Haar0.75","Haar0.757","Haar0.773","Haar0.781","Haar0.789","Haar0.796","Haar0.804","Haar0.812","Haar0.82","Haar0.828","Haar0.835","Haar0.843","Haar0.859","Haar0.867","Haar0.875","Haar0.882","Haar0.89","Haar0.898","Haar0.906","Haar0.914","Haar0.921","Haar0.929","Haar0.937","Haar0.945","Haar0.953","Haar0.96","Haar0.968","Haar0.976","Haar0.984","Haar0.992","Haar1","sin(2pi*1posx)","cos(2pi1posx)","sin(2pi*2posx)","cos(2pi2posx)","sin(2pi*3posx)","cos(2pi3posx)","sin(2pi*4posx)","cos(2pi4posx)","sin(2pi*5posx)","cos(2pi5posx)","sin(2pi*6posx)","cos(2pi6posx)","sin(2pi*7posx)","cos(2pi7posx)","sin(2pi*8posx)","cos(2pi8posx)","sin(2pi*9posx)","cos(2pi9posx)","sin(2pi*10posx)","cos(2pi10posx)","bspl3.1","bspl3.2","bspl3.3","bspl3.4","bspl3.5","bspl3.6","bspl3.7","bspl3.8","bspl3.9","bspl3.10","bspl3.11","bspl3.12","bspl3.13","bspl3.14","x","xx"
"11",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643085138926951,0.99793006520543,0.128350798924403,0.991728830081826,0.191861728386902,0.981421966933893,0.254578375314732,0.967052144830935,0.316241100968543,0.948678852962478,0.376594629705619,0.926378154360781,0.435389105787743,0.900242371009802,0.492381127751372,0.870379701644223,0.547334756057957,0.836913773820802,0.600022489852858,0.799983132116407,0.879943613438797,0.117376359870325,0.00268002669087806,0,0,0,0,0,0,0,0,0,0,0,0.0102420856610801,0.000104900318688902
"12",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701455360752036,0.997536768128735,0.139945502710232,0.990159207537445,0.209056032900229,0.977903663510889,0.277136656123986,0.960830512542361,0.343851975659622,0.939023864891076,0.408873320904375,0.912591150216036,0.471880366558404,0.881662588327704,0.532562710695771,0.846390547664831,0.590621403948273,0.806948794656867,0.645770422268662,0.763531637669949,0.868360090845015,0.128397076859022,0.00324283229596246,0,0,0,0,0,0,0,0,0,0,0,0.0111731843575419,0.000124840048687619
"13",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759801574909272,0.99710932984686,0.151521047834875,0.988454031335308,0.226185943437724,0.974084143691492,0.299543181129064,0.954082744126043,0.37116865775387,0.928565467536453,0.440648282057176,0.897679837982373,0.507580368686531,0.861604415798831,0.571577960471723,0.820547765278162,0.632271065555858,0.774747248888862,0.689308796444199,0.724467655002381,0.856853316626204,0.139287444938932,0.00385923843486441,0,0,0,0,0,0,0,0,0,0,0,0.0121042830540037,0.000146513668251442
"14",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081812178446969,0.996647764989096,0.163075849596122,0.986613534915523,0.243246183600376,0.969964583973999,0.321785680858763,0.946812534557006,0.398167775666386,0.917312608885805,0.471880366558404,0.881662588327704,0.542429249678951,0.840101487376811,0.609341432156075,0.792907951188524,0.672168303268263,0.740398387411442,0.730488642141581,0.682924844841765,0.845423290782364,0.150047464110053,0.00452924510758393,0,0,0,0,0,0,0,0,0,0,0,0.0130353817504655,0.00016992117738037
"15",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876413993394343,0.996152089352738,0.17460832613155,0.984637970243652,0.260231498449222,0.965546253275767,0.343851975659622,0.939023864891076,0.424826229513578,0.905274916650891,0.50253109662397,0.864559134429745,0.576368574219803,0.81718985961148,0.645770422268662,0.763531637669949,0.710202536550452,0.703997412692195,0.769169059028032,0.639045349434554,0.834070013313494,0.160677134372385,0.00525285231412101,0,0,0,0,0,0,0,0,0,0,0,0.0139664804469274,0.000195062576074405
"16",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934676206602619,0.995622319902537,0.18611689863508,0.982527607776219,0.277136656123986,0.960830512542361,0.365729982365309,0.930721000084918,0.45112121087694,0.892462690030751,0.532562710695771,0.846390547664831,0.609341432156075,0.792907951188524,0.68078514989616,0.732483159998141,0.746268348433547,0.665645214905257,0.805217698778326,0.592979306193848,0.822793484219594,0.17117645572593,0.00603006005447564,0,0,0,0,0,0,0,0,0,0,0,0.0148975791433892,0.000221937864333545
"17",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0992906430040525,0.995058474770122,0.197599991573114,0.980282736423684,0.293956449454612,0.955818814328342,0.387407720913179,0.92190848666061,0.477030222317462,0.878886890899934,0.561938209963753,0.827179211648076,0.641292533925707,0.76729647850824,0.714308931415409,0.699830515553713,0.780265777692079,0.625448092300692,0.838511217915797,0.544884333991506,0.811593703500666,0.181545428170686,0.00686086832864785,0,0,0,0,0,0,0,0,0,0,0,0.015828677839851,0.000250547042157791
"18",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105110267074894,0.994460573253382,0.209056032900229,0.977903663510889,0.310685697565186,0.95051270234986,0.408873320904375,0.912591150216036,0.50253109662397,0.864559134429745,0.590621403948273,0.806948794656867,0.672168303268263,0.740398387411442,0.746268348433547,0.665645214905257,0.812100595899896,0.583517456584662,0.8689356998425,0.49492499385182,0.800470671156708,0.191784051706655,0.00774527713663761,0,0,0,0,0,0,0,0,0,0,0,0.0167597765363128,0.000280890109547143
"19",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11092629369318,0.9938286358158,0.220483454274392,0.975390714734989,0.327319247469768,0.944913811009144,0.430115028103876,0.902774092782465,0.527602015778931,0.849491679150542,0.618576955086607,0.78572422047165,0.701916967062697,0.712258781167003,0.776593408577162,0.630002125198404,0.841684568596869,0.539969524126967,0.896387044614511,0.443272225892017,0.78942438718772,0.201892326333835,0.00868328647844493,0,0,0,0,0,0,0,0,0,0,0,0.0176908752327747,0.0003129670665016
"20",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116738523802431,0.993162684085759,0.231880691271664,0.972744234120858,0.343851975659622,0.939023864891076,0.45112121087694,0.892462690030751,0.552221529625496,0.833697416463598,0.645770422268662,0.763531637669949,0.730488642141581,0.682924844841765,0.805217698778326,0.592979306193848,0.8689356998425,0.49492499385182,0.920771325128704,0.390102764436156,0.778454851593703,0.211870252052227,0.00967489635406981,0,0,0,0,0,0,0,0,0,0,0,0.0186219739292365,0.000346777913021164
"21",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122546758476105,0.992462740855796,0.243246183600376,0.969964583973999,0.360278789681379,0.932844678231977,0.471880366558404,0.881662588327704,0.576368574219803,0.81718985961148,0.672168303268263,0.740398387411442,0.757835418936218,0.652445766179662,0.832078530721816,0.554657839313413,0.893778459478656,0.448508712704626,0.942005108502301,0.335598533303662,0.767562064374657,0.22171782886183,0.0107201067635123,0,0,0,0,0,0,0,0,0,0,0,0.0195530726256983,0.000382322649105833
"22",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128350798924403,0.991728830081826,0.254578375314732,0.967052144830935,0.376594629705619,0.926378154360781,0.492381127751372,0.870379701644223,0.600022489852858,0.799983132116407,0.697738076017747,0.716352969753775,0.78391144181239,0.6208726531227,0.857117078134971,0.515121650068574,0.916143992471506,0.400849329621953,0.960015741545549,0.279946023341553,0.756746025530582,0.231435056762646,0.0118189177067723,0,0,0,0,0,0,0,0,0,0,0,0.0204841713221601,0.000419601274755608
"23",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134150446501079,0.99096097688232,0.265875715027817,0.964007315407122,0.392794470085422,0.919626285112769,0.512612268551829,0.858620208316894,0.623163038726543,0.782091955696452,0.722448238674991,0.691425008540625,0.808672985962017,0.588258448112116,0.880278505619535,0.474457324260294,0.935970309752469,0.35207893896379,0.974741599350772,0.223335654330201,0.746006735061477,0.241021935754673,0.0129713291838498,0,0,0,0,0,0,0,0,0,0,0,0.021415270018622,0.000458613789970489
