"","cste","Haar0.007","Haar0.015","Haar0.023","Haar0.031","Haar0.039","Haar0.062","Haar0.07","Haar0.078","Haar0.085","Haar0.093","Haar0.101","Haar0.109","Haar0.117","Haar0.125","Haar0.132","Haar0.14","Haar0.148","Haar0.156","Haar0.164","Haar0.171","Haar0.179","Haar0.187","Haar0.195","Haar0.203","Haar0.21","Haar0.218","Haar0.226","Haar0.234","Haar0.242","Haar0.25","Haar0.257","Haar0.265","Haar0.273","Haar0.281","Haar0.289","Haar0.296","Haar0.304","Haar0.312","Haar0.32","Haar0.328","Haar0.335","Haar0.343","Haar0.351","Haar0.359","Haar0.367","Haar0.375","Haar0.382","Haar0.39","Haar0.398","Haar0.406","Haar0.414","Haar0.421","Haar0.429","Haar0.437","Haar0.445","Haar0.453","Haar0.46","Haar0.468","Haar0.476","Haar0.484","Haar0.492","Haar0.5","Haar0.507","Haar0.515","Haar0.523","Haar0.531","Haar0.539","Haar0.546","Haar0.554","Haar0.562","Haar0.57","Haar0.578","Haar0.585","Haar0.593","Haar0.601","Haar0.609","Haar0.617","Haar0.625","Haar0.632","Haar0.64","Haar0.671","Haar0.679","Haar0.687","Haar0.695","Haar0.703","Haar0.71","Haar0.718","Haar0.726","Haar0.734","Haar0.742","Haar0.75","Haar0.757","Haar0.765","Haar0.773","Haar0.781","Haar0.789","Haar0.796","Haar0.804","Haar0.812","Haar0.82","Haar0.828","Haar0.835","Haar0.843","Haar0.851","Haar0.859","Haar0.89","Haar0.898","Haar0.906","Haar0.914","Haar0.921","Haar0.929","Haar0.937","Haar0.945","Haar0.953","Haar0.96","Haar0.968","Haar0.976","Haar0.984","Haar0.992","Haar1","sin(2pi*1posx)","cos(2pi1posx)","sin(2pi*2posx)","cos(2pi2posx)","sin(2pi*3posx)","cos(2pi3posx)","sin(2pi*4posx)","cos(2pi4posx)","sin(2pi*5posx)","cos(2pi5posx)","sin(2pi*6posx)","cos(2pi6posx)","sin(2pi*7posx)","cos(2pi7posx)","sin(2pi*8posx)","cos(2pi8posx)","sin(2pi*9posx)","cos(2pi9posx)","sin(2pi*10posx)","cos(2pi10posx)","bspl3.1","bspl3.2","bspl3.3","bspl3.4","bspl3.5","bspl3.6","bspl3.7","bspl3.8","bspl3.9","bspl3.10","bspl3.11","bspl3.12","bspl3.13","bspl3.14","x","xx"
"11",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652796699136133,0.997867007519524,0.130280857737119,0.991477129391939,0.194726269380819,0.980857624741241,0.258340981687837,0.966053796214561,0.320853615252178,0.947128796721759,0.381997492119186,0.924163360026058,0.441511773429692,0.897255456335022,0.499142572154663,0.866519874361129,0.554644036173452,0.832087731634845,0.607779397075243,0.794105915159215,0.876123378641685,0.121025586199815,0.0028510351585001,0,0,0,0,0,0,0,0,0,0,0,0.0103969754253308,0.000108097097994933
"12",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712045551123253,0.997461734269168,0.142047638060409,0.989859822662512,0.212169611704824,0.977232856523472,0.28121449964021,0.959644937042918,0.348831793320697,0.937185349847439,0.414678231427562,0.909968111738048,0.478419542446118,0.878131391880308,0.53973214160557,0.841836810384212,0.598304773567291,0.801268617834614,0.653840092522333,0.756632759937334,0.864186070606165,0.13236417685205,0.00344975254178512,0,0,0,0,0,0,0,0,0,0,0,0.0113421550094518,0.000128644480258432
"13",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771269290324001,0.997021282028639,0.153794379325631,0.988102873636062,0.229545609455679,0.973297905668979,0.303929336321461,0.952694577775688,0.376502423634994,0.92641563296232,0.446832521877443,0.894617626359242,0.514500643993681,0.8574899925539,0.579103661480839,0.815253917046392,0.640256706000528,0.768161018551028,0.697595462207321,0.71649184999395,0.852330645134338,0.143563864237422,0.00410549062824014,0,0,0,0,0,0,0,0,0,0,0,0.0122873345935728,0.00015097859141441
"14",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830465828005281,0.996545666332033,0.165519424387101,0.98620653017031,0.246848747332949,0.969054021167114,0.32647267440118,0.945206640301125,0.403841110367701,0.914829141193579,0.478419542446118,0.878131391880308,0.549692733058763,0.835366924903295,0.617168279441726,0.786831185738682,0.680380015491734,0.732859491662261,0.738891232352691,0.673824715153964,0.840557102226203,0.154624648355932,0.00481824941786517,0,0,0,0,0,0,0,0,0,0,0,0.0132325141776938,0.000175099431462866
"15",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088963307639335,0.996034903953606,0.17722111915988,0.984171059787738,0.264073533162589,0.964502550065591,0.348831793320697,0.937185349847439,0.4308237503497,0.902436089778451,0.509399192280294,0.860530338166054,0.583935000764195,0.811800415670329,0.653840092522333,0.756632759937334,0.718560106748803,0.695464861074338,0.777581801298541,0.628781792269239,0.828865441881762,0.165546529207578,0.00558802891066019,0,0,0,0,0,0,0,0,0,0,0,0.0141776937618147,0.000201007000403801
"16",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948768948747455,0.995489012907187,0.188897812853119,0.981996749637853,0.28121449964021,0.959644937042918,0.370994076470924,0.928635232598616,0.457426554320698,0.889247405057948,0.53973214160557,0.841836810384212,0.617168279441726,0.786831185738682,0.689036340992571,0.724726790446972,0.754687934462024,0.656083928760219,0.813530752868557,0.581521894804588,0.817255664101013,0.176329506792362,0.00641482910662522,0,0,0,0,0,0,0,0,0,0,0,0.0151228733459357,0.000228701298237213
"17",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100787135943343,0.994908012445542,0.20054785820294,0.979683906456676,0.298266206066452,0.95448272394985,0.392947018311552,0.919561113140427,0.483626067903044,0.875274714843654,0.569379881656988,0.82207454063745,0.64933514486862,0.760502379771719,0.722677595127565,0.691185281600122,0.788660314745958,0.614829169725059,0.846611337349589,0.532211652889281,0.805727768883957,0.186973581110282,0.00729865000576026,0,0,0,0,0,0,0,0,0,0,0,0.0160680529300567,0.000258182324963104
"18",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106693822399725,0.99429192305969,0.212169611704824,0.977232856523472,0.315223240073909,0.949017549319983,0.414678231427562,0.909968111738048,0.509399192280294,0.860530338166054,0.598304773567291,0.801268617834614,0.680380015491734,0.732859491662261,0.754687934462024,0.656083928760219,0.820380219840647,0.571818410768848,0.876706918388953,0.481024925808368,0.794281756230595,0.19747875216134,0.00823949160806529,0,0,0,0,0,0,0,0,0,0,0,0.0170132325141777,0.000289450080581473
"19",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112596745923856,0.993640766478187,0.22376143384546,0.974643945614717,0.332080219345066,0.943251147849677,0.436175453519091,0.899861641446848,0.534723204562295,0.845027274413453,0.626470096150812,0.779445455839466,0.710249248467617,0.70395028592308,0.784995119125026,0.61950194749483,0.849757055230435,0.527174493963905,0.903711384233808,0.428142189005259,0.782917626140925,0.207845019945535,0.00923735391354032,0,0,0,0,0,0,0,0,0,0,0,0.0179584120982987,0.00032250456509232
"20",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118495698328412,0.992954565666356,0.235321689334039,0.971917538955324,0.348831793320697,0.937185349847439,0.457426554320698,0.889247405057948,0.559575777818836,0.828779191871059,0.653840092522333,0.756632759937334,0.738891232352691,0.673824715153964,0.813530752868557,0.581521894804588,0.876706918388953,0.481024925808368,0.927529521862627,0.37374989775689,0.771635378614948,0.218072384462867,0.0102922369221854,0,0,0,0,0,0,0,0,0,0,0,0.0189035916824197,0.000357345778495646
