"","cste","Haar0.007","Haar0.015","Haar0.023","Haar0.031","Haar0.039","Haar0.046","Haar0.054","Haar0.062","Haar0.07","Haar0.078","Haar0.085","Haar0.093","Haar0.101","Haar0.109","Haar0.117","Haar0.125","Haar0.132","Haar0.14","Haar0.148","Haar0.156","Haar0.164","Haar0.171","Haar0.179","Haar0.187","Haar0.195","Haar0.203","Haar0.21","Haar0.218","Haar0.226","Haar0.234","Haar0.242","Haar0.25","Haar0.257","Haar0.265","Haar0.273","Haar0.281","Haar0.289","Haar0.296","Haar0.304","Haar0.312","Haar0.32","Haar0.328","Haar0.335","Haar0.343","Haar0.351","Haar0.359","Haar0.367","Haar0.375","Haar0.382","Haar0.39","Haar0.398","Haar0.406","Haar0.414","Haar0.421","Haar0.429","Haar0.437","Haar0.445","Haar0.453","Haar0.46","Haar0.468","Haar0.476","Haar0.484","Haar0.492","Haar0.5","Haar0.507","Haar0.515","Haar0.523","Haar0.531","Haar0.539","Haar0.546","Haar0.554","Haar0.562","Haar0.57","Haar0.578","Haar0.585","Haar0.593","Haar0.601","Haar0.609","Haar0.617","Haar0.625","Haar0.632","Haar0.64","Haar0.648","Haar0.656","Haar0.664","Haar0.671","Haar0.679","Haar0.687","Haar0.695","Haar0.703","Haar0.71","Haar0.718","Haar0.726","Haar0.734","Haar0.742","Haar0.75","Haar0.757","Haar0.765","Haar0.773","Haar0.781","Haar0.789","Haar0.796","Haar0.804","Haar0.812","Haar0.82","Haar0.828","Haar0.835","Haar0.843","Haar0.851","Haar0.859","Haar0.867","Haar0.875","Haar0.882","Haar0.89","Haar0.898","Haar0.906","Haar0.914","Haar0.921","Haar0.929","Haar0.937","Haar0.945","Haar0.953","Haar0.96","Haar0.968","Haar0.976","Haar0.984","Haar0.992","Haar1","sin(2pi*1posx)","cos(2pi1posx)","sin(2pi*2posx)","cos(2pi2posx)","sin(2pi*3posx)","cos(2pi3posx)","sin(2pi*4posx)","cos(2pi4posx)","sin(2pi*5posx)","cos(2pi5posx)","sin(2pi*6posx)","cos(2pi6posx)","sin(2pi*7posx)","cos(2pi7posx)","sin(2pi*8posx)","cos(2pi8posx)","sin(2pi*9posx)","cos(2pi9posx)","sin(2pi*10posx)","cos(2pi10posx)","bspl3.1","bspl3.2","bspl3.3","bspl3.4","bspl3.5","bspl3.6","bspl3.7","bspl3.8","bspl3.9","bspl3.10","bspl3.11","bspl3.12","bspl3.13","bspl3.14","x","xx"
"11",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630193787112993,0.998012303484702,0.125788230623677,0.992057115813684,0.188057024880703,0.982158111198507,0.249578218551664,0.968354642073129,0.310107240712005,0.950701582652509,0.369403464708884,0.929269110786037,0.427231164746681,0.904142428972999,0.483360452989691,0.875421425649156,0.53756819345662,0.843220278090954,0.589638889073813,0.807666998515973,0.876232772460958,0.121042791712711,0.00272443582633112,0,0,0,0,0,0,0,0,0,0,0,0.010036496350365,0.000100731258990889
"12",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068739749973484,0.99763462588945,0.137154309497062,0.990549693547166,0.204920026514971,0.978778720004222,0.271716318481976,0.962377390772768,0.337227188958679,0.941423296411889,0.401142722511109,0.916015565466207,0.463160550842612,0.886274395513696,0.522987283222133,0.852340484541203,0.580339894441893,0.814374365337694,0.634947063738389,0.772555646054055,0.864305581618398,0.132397851031741,0.00329656734986065,0,0,0,0,0,0,0,0,0,0,0,0.0109489051094891,0.000119878523096595
"13",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744578620840065,0.997224160745155,0.148502358055204,0.988912053547758,0.221722416676548,0.975109824554707,0.293711543722112,0.955894099304088,0.364070078702346,0.931371557324824,0.432407413650628,0.901678339886223,0.498344161653115,0.866979294185423,0.561514263082923,0.827467058168748,0.621567017845489,0.783360991067761,0.678169032352751,0.734905955587335,0.852460123850629,0.143616688559455,0.00392318758991681,0,0,0,0,0,0,0,0,0,0,0,0.0118613138686131,0.000140690766689754
"14",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801735271154668,0.996780921541873,0.159830884482835,0.987144411099731,0.238459225535838,0.971152510039926,0.315552328676714,0.94890817673087,0.390613856410279,0.920554623680903,0.463160550842612,0.886274395513696,0.532725344971202,0.846288193717314,0.598860369735601,0.800853455733406,0.661139837468717,0.750262697534563,0.719162783184622,0.694841630360579,0.840696399157649,0.154699304295851,0.00460429654649959,0,0,0,0,0,0,0,0,0,0,0,0.0127737226277372,0.000163167989770366
"15",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085886557220889,0.996304922846787,0.171138399531068,0.985246998577486,0.255125502660958,0.966907946958754,0.337227188958679,0.941423296411889,0.416836714293673,0.908981382436876,0.493365751989454,0.869821955783987,0.566248740648527,0.824234410658738,0.634947063738389,0.772555646054055,0.698953030050812,0.715167576014733,0.757793625618217,0.652494307233709,0.829014407539459,0.165645698240932,0.00533989421960899,0,0,0,0,0,0,0,0,0,0,0,0.0136861313868613,0.00018731019233843
"16",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091596764639895,0.995796180303733,0.182423416713175,0.983220065415007,0.271716318481976,0.962377390772768,0.358724727427914,0.933443394069383,0.442717108224452,0.896661341915318,0.522987283222133,0.852340484541203,0.598860369735601,0.800853455733406,0.669698454213852,0.742633139863538,0.734905955587335,0.678169032352751,0.793934632698812,0.608003124170758,0.817414148996059,0.176455870394696,0.00612998060924501,0,0,0,0,0,0,0,0,0,0,0,0.0145985401459854,0.000213117374393947
"17",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973039617048747,0.995254710632678,0.193684452499996,0.981063878073073,0.288226765748991,0.9575621815349,0.380033640184213,0.924972665719553,0.468233775435453,0.883604623992802,0.551990101174704,0.833850663011753,0.630507721398013,0.776182976660456,0.703041458448594,0.711148864656673,0.768902925184049,0.639365538360813,0.827467058168748,0.561514263082923,0.805895623527449,0.187129820757143,0.00697455571540766,0,0,0,0,0,0,0,0,0,0,0,0.0155109489051095,0.000240589535936917
"18",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103007960847154,0.994680531629181,0.204920026514971,0.978778720004222,0.3046519609836,0.952463743493078,0.401142722511109,0.916015565466207,0.493365751989454,0.869821955783987,0.580339894441893,0.814374365337694,0.661139837468717,0.750262697534563,0.734905955587335,0.678169032352751,0.800853455733406,0.598860369735601,0.858280726624609,0.513180469527761,0.794458831133629,0.197667549328274,0.00787361953809693,0,0,0,0,0,0,0,0,0,0,0,0.0164233576642336,0.00026972667696734
"19",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108708574603161,0.9940736621638,0.216128661728742,0.976364891615498,0.320987045923342,0.94708358466896,0.422040874767571,0.906576803158686,0.518092390002685,0.855324660828452,0.608003124170758,0.793934632698812,0.690707394500229,0.723134354862708,0.76522493409816,0.643763000050846,0.830672510735793,0.556761331189491,0.886274395513696,0.463160550842612,0.783103771814599,0.208069056108088,0.00882717207731282,0,0,0,0,0,0,0,0,0,0,0,0.0173357664233577,0.000300528797485215
"20",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114405615620583,0.993434122181474,0.22730888465333,0.973822710228951,0.337227188958679,0.941423296411889,0.442717108224452,0.896661341915318,0.542393374608679,0.840124649787524,0.634947063738389,0.772555646054055,0.719162783184622,0.69484163036058,0.793934632698812,0.608003124170758,0.858280726624609,0.513180469527761,0.911356087780379,0.411618854361218,0.771830445570359,0.218334341096585,0.00983521333305533,0,0,0,0,0,0,0,0,0,0,0,0.0182481751824818,0.000332995897490543
